"","ambiente","via","slope","angulo","slope_padronizado","Categoria CDB"
"1","Marinho","Água de lastro",0.275345471610714,15.3946520078235,1,"Transporte clandestino"
"2","Marinho","Bioincrustação em navios",0.263000393778403,14.7351228342206,0.955379071986018,"Transporte clandestino"
"3","Marinho","Aquário, terrário e pet (incluindo comida viva para essas espécies)",0.108746406364185,6.2063219308087,0.397832480399161,"Escape"
"4","Marinho","Maquinário e equipamento",0.107255577922605,6.12188861631968,0.392443923965855,"Transporte clandestino"
"5","Marinho","Jardim botânico, zoológico, aquário (não domésticos)",0.101307948541279,5.78478144037712,0.370946388990143,"Escape"
"6","Marinho","Canais, bacias e mares interconectados",0.0223886950941535,1.28256346978935,0.0856950220230914,"Corredor"
"7","Marinho","Pesquisa e e criação ex-situ",0.0192009983131968,1.10000099689263,0.0741731838843968,"Escape"
"8","Marinho","Contaminantes em animais (exceto parasitas)",0.0182778601107008,1.04712764506628,0.0708365274582446,"Transporte como contaminante"
"9","Marinho","Contaminação de comida incluindo comida viva",0.0106747884116798,0.611597093168216,0.0433554439385265,"Transporte como contaminante"
"10","Marinho","Dispersão natural (vias 1 a 5) por fronteiras",0.00871602760631166,0.49937895042134,0.0362755594630976,"Sem ajuda humana"
"11","Marinho","Presença em navio e embarbação",0.00322432858625704,0.184739779554615,0.0164259716373367,"Transporte clandestino"
"12","Marinho","Aquicultura/maricultura",0.00144648299805487,0.0828773131242448,0.01,"Escape"
"13","Terrestre","Aquário, terrário e pet (incluindo comida viva para essas espécies)",55.7899903080291,88.9731196522793,1,"Escape"
"14","Terrestre","Dispersão natural (vias 1 a 5) por fronteiras",43.6918800838399,88.6888690085601,0.785311211425406,"Sem ajuda humana"
"15","Terrestre","Outra soltura intencional",29.5646356749652,88.0627549453228,0.534614124704015,"Soltura na natureza"
"16","Terrestre","Presença em navio e embarbação",16.1665698628059,86.460419690795,0.296856783668719,"Transporte clandestino"
"17","Terrestre","Animais domésticos",14.3677743647695,86.0186227276579,0.264935994453662,"Escape"
"18","Terrestre","Melhoramento de paisagem",13.4203148974347,85.7385433727853,0.248122713577865,"Soltura na natureza"
"19","Terrestre","Contaminantes em plantas (exceto parasitas)",12.7662319598062,85.52107284414,0.236515588919172,"Transporte como contaminante"
"20","Terrestre","Comércio de madeira",5.5430116899531,79.7734214155316,0.108334874691456,"Transporte como contaminante"
"21","Terrestre","Material de embalagem orgânico",5.16854516651127,79.049822338189,0.10168972410267,"Transporte clandestino"
"22","Terrestre","Caça na natureza",5.13747363137546,78.9852104998614,0.101138339620809,"Soltura na natureza"
"23","Terrestre","Comida viva e isca viva",4.5285397716315,77.547680955823,0.090332414542602,"Escape"
"24","Terrestre","Fins ornamentais",3.62734324431172,74.5873274703322,0.0743400994510208,"Escape"
"25","Terrestre","Jardim botânico, zoológico, aquário (não domésticos)",3.37200224122933,73.4817652837867,0.0698089082476564,"Escape"
"26","Terrestre","Maquinário e equipamento",2.5839974995796,68.8436981378408,0.0558252545826763,"Transporte clandestino"
"27","Terrestre","Transporte de material natural",2.31627813480634,66.6488346009217,0.0510744013472501,"Transporte como contaminante"
"28","Terrestre","Plantas cultivadas",2.31031623031317,66.5950519132395,0.0509686034970473,"Escape"
"29","Terrestre","Agricultura e biocombustíveis",1.04732964064776,46.3243132267966,0.0285560898154408,"Escape"
"30","Terrestre","Veículos",0.801501169930895,38.7122154124715,0.0241937046497126,"Transporte clandestino"
"31","Terrestre","Controle biológico",0.550692618434975,28.8412524811249,0.0197429447304363,"Soltura na natureza"
